City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Vanimo,PG,2022-04-11 14:47:44,-2.6741,141.3028,78.66,89,22,7.9
67,Bambous Virieux,MU,2022-04-11 14:47:45,-20.3428,57.7575,77.25,88,75,11.5
68,Guerrero,MX,2022-04-11 14:45:17,17.6667,-100.0,79.18,45,72,3.11
69,Puerto Ayora,EC,2022-04-11 14:47:45,-0.7393,-90.3518,80.56,91,100,3.0
70,Lazarev,RU,2022-04-11 14:47:45,52.225,141.5131,26.65,89,100,16.49
71,Hilo,US,2022-04-11 14:47:46,19.7297,-155.09,71.33,89,100,3.44
72,Mataura,NZ,2022-04-11 14:47:46,-46.1927,168.8643,50.49,99,100,3.06
73,Saint-Philippe,RE,2022-04-11 14:47:46,-21.3585,55.7679,76.59,84,66,16.04
74,Aitape,PG,2022-04-11 14:47:47,-3.1374,142.3475,79.23,87,3,7.78
75,Bengkulu,ID,2022-04-11 14:45:29,-3.8004,102.2655,78.15,82,12,3.22
76,Resistencia,AR,2022-04-11 14:47:47,-27.4606,-58.9839,69.78,94,75,8.05
77,Port Hardy,CA,2022-04-11 14:47:48,50.6996,-127.4199,41.0,69,20,9.22
78,Jamestown,US,2022-04-11 14:46:11,42.097,-79.2353,52.72,38,100,1.01
79,Karratha,AU,2022-04-11 14:47:48,-20.7377,116.8463,84.61,28,2,12.66
80,Kungurtug,RU,2022-04-11 14:47:48,50.5994,97.5228,17.6,89,52,2.95
81,Tuktoyaktuk,CA,2022-04-11 14:47:49,69.4541,-133.0374,-13.0,77,20,9.22
82,Dikson,RU,2022-04-11 14:47:49,73.5069,80.5464,0.66,92,90,8.57
83,College,US,2022-04-11 14:47:49,64.8569,-147.8028,24.8,84,40,3.44
84,Morant Bay,JM,2022-04-11 14:47:50,17.8815,-76.4093,83.82,80,40,15.21
85,Port Elizabeth,ZA,2022-04-11 14:43:24,-33.918,25.5701,77.09,81,0,18.41
86,Lastoursville,GA,2022-04-11 14:47:50,-0.8143,12.7287,84.94,70,99,2.51
87,Sokolka,PL,2022-04-11 14:47:51,53.4072,23.5023,47.66,43,94,8.28
88,Sao Felix Do Xingu,BR,2022-04-11 14:47:51,-6.6447,-51.995,88.52,57,41,2.35
89,Cidreira,BR,2022-04-11 14:48:51,-30.1811,-50.2056,69.57,90,100,14.88
90,Korla,CN,2022-04-11 14:48:52,41.7597,86.1469,64.58,26,90,5.64
91,Bluff,NZ,2022-04-11 14:48:52,-46.6,168.3333,50.81,82,100,4.14
92,Cockburn Town,TC,2022-04-11 14:48:52,21.4612,-71.1419,76.46,80,16,17.2
93,Baie-Comeau,CA,2022-04-11 14:43:57,49.2168,-68.1489,44.28,49,0,8.05
94,Toowoomba,AU,2022-04-11 14:48:53,-27.55,151.9667,63.25,90,22,3.04
95,Kieta,PG,2022-04-11 14:48:53,-6.2167,155.6333,79.61,82,18,1.88
96,Lagoa,PT,2022-04-11 14:46:24,39.05,-27.9833,58.73,89,100,22.28
97,Manta,EC,2022-04-11 14:48:54,-0.95,-80.7333,80.38,78,75,2.3
98,Puerto Leguizamo,CO,2022-04-11 14:48:54,-0.1934,-74.7819,82.98,67,97,0.92
99,Kavaratti,IN,2022-04-11 14:48:54,10.5669,72.642,83.95,73,37,11.9
100,Portland,US,2022-04-11 14:48:27,45.5234,-122.6762,36.68,95,100,9.22
101,Qasigiannguit,GL,2022-04-11 14:48:55,68.8193,-51.1922,28.65,67,100,1.41
102,Knysna,ZA,2022-04-11 14:48:55,-34.0363,23.0471,72.52,63,57,8.52
103,Albany,US,2022-04-11 14:48:55,42.6001,-73.9662,47.17,50,0,3.49
104,Tiksi,RU,2022-04-11 14:48:04,71.6872,128.8694,-11.76,99,50,8.08
105,Alcains,PT,2022-04-11 14:48:56,39.9164,-7.4566,58.51,76,100,15.23
106,Brigantine,US,2022-04-11 14:48:56,39.4101,-74.3646,55.2,45,0,3.44
107,Silver City,US,2022-04-11 14:48:57,32.7701,-108.2803,56.68,42,0,11.01
108,Nome,US,2022-04-11 14:48:57,64.5011,-165.4064,28.47,69,0,17.27
109,Barstow,US,2022-04-11 14:48:57,34.8986,-117.0228,56.39,37,41,27.87
110,Comodoro Rivadavia,AR,2022-04-11 14:48:51,-45.8667,-67.5,58.86,51,0,18.41
111,Sergeyevka,KZ,2022-04-11 14:48:58,53.88,67.4158,48.45,42,100,13.09
112,Ostrovnoy,RU,2022-04-11 14:48:58,68.0531,39.5131,35.35,89,57,28.01
113,Touros,BR,2022-04-11 14:48:58,-5.1989,-35.4608,87.76,57,98,12.93
114,Souillac,MU,2022-04-11 14:48:59,-20.5167,57.5167,77.38,88,75,11.5
115,Palana,RU,2022-04-11 14:48:59,59.1167,159.9667,10.18,94,100,9.53
116,Kurchum,KZ,2022-04-11 14:48:59,48.5722,83.6542,42.15,48,9,9.37
117,Jaru,BR,2022-04-11 14:49:00,-10.4389,-62.4664,82.02,78,100,6.11
