City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
185,Puerto Ayora,EC,84.16,light rain,-0.7393,-90.3518,Finch Bay Galapagos Hotel
187,George Town,MY,80.53,thunderstorm,5.4112,100.3354,Cititel Penang
189,Nishihara,JP,72.68,broken clouds,26.1842,127.7558,Minshuku Agaihama
193,Saint-Joseph,RE,75.58,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
194,Saint-Philippe,RE,76.59,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
196,Salto,UY,73.87,overcast clouds,-31.3833,-57.9667,Gran Hotel Uruguay
197,Santiago,CL,72.18,broken clouds,-33.4569,-70.6483,Hotel Panamericano
198,Natal,BR,84.85,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
202,Caramay,PH,76.78,overcast clouds,10.1815,119.236,Peace and Love Beach Club
203,Buraydah,SA,79.32,few clouds,26.326,43.975,Mövenpick Qassim
205,Honiara,SB,76.37,broken clouds,-9.4333,159.95,Heritage Park Hotel
209,Alofi,NU,81.21,scattered clouds,-19.0595,-169.9187,Taloa Heights
213,Puerto Escondido,MX,85.03,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
214,Chuy,UY,70.97,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
216,Kilindoni,TZ,81.59,overcast clouds,-7.9139,39.6668,Bustani B&B
222,Samarai,PG,82.72,overcast clouds,-10.6167,150.6667,Nuli Sapi
225,Mecca,SA,84.18,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
229,Mahebourg,MU,77.25,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
234,Jacareacanga,BR,79.66,light rain,-6.2222,-57.7528,Casa do Ian😎
235,Ambulu,ID,74.64,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
236,Maceio,BR,85.44,few clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
237,Kuala Terengganu,MY,78.73,broken clouds,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
239,Bubaque,GW,74.7,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
